Subject;Group;Map;FOnset;LOffset;NumTF;TfCentroid;MeanCorr;Gev;BCorr;TfBCorr;GfpTfBCorr;MaxGfp;TfMaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject30;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject30;Group2;Map2;73;97;25;85.447188;-0.387403;0.007068;0.216283;97;1.100358;1.912674;90;1.476497;25.000000;0.304878;0.012195
Subject30;Group2;Map3;108;154;47;128.402341;0.893512;0.199682;0.965582;137;3.330218;3.489816;134;2.704285;47.000000;0.573171;0.012195
Subject30;Group2;Map4;98;107;10;103.408407;0.811655;0.027375;0.924315;105;2.880775;3.187903;107;2.213631;10.000000;0.121951;0.012195
Subject30;Group2;Map5;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject31;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject31;Group2;Map2;80;87;8;83.725401;-0.086911;0.000149;0.061989;87;1.096804;1.111774;85;1.008700;8.000000;0.097561;0.012195
Subject31;Group2;Map3;73;117;37;100.749504;0.656193;0.078262;0.946525;112;2.302867;2.387727;114;1.391089;14.491377;0.451220;0.024390
Subject31;Group2;Map4;118;148;31;132.636271;0.958318;0.196153;0.975756;133;2.393601;2.393601;133;2.224099;31.000000;0.378049;0.012195
Subject31;Group2;Map5;149;154;6;151.327291;0.904660;0.013053;0.927954;149;1.604589;1.604589;149;1.373843;6.000000;0.073171;0.012195
Subject32;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject32;Group2;Map2;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject32;Group2;Map3;73;154;46;114.272801;0.362245;0.079679;0.950027;149;3.961987;4.257764;111;2.229653;12.817976;0.560976;0.036585
Subject32;Group2;Map4;100;148;36;129.352020;0.907277;0.152477;0.956339;144;4.519416;4.519416;144;3.775219;15.588457;0.439024;0.024390
Subject32;Group2;Map5;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
